iter	Passed	Remaining
905	76284	7914
906	76370	7830
907	76461	7747
908	76546	7663
909	76619	7577
910	76695	7492
911	76769	7407
912	76844	7322
913	76915	7237
914	76994	7152
915	77070	7067
916	77145	6982
917	77215	6897
918	77348	6817
919	77417	6731
920	77491	6646
921	77567	6562
922	77648	6477
923	77725	6392
924	77807	6308
925	77889	6224
926	77975	6140
927	78063	6056
928	78152	5972
929	78233	5888
930	78308	5803
931	78380	5718
932	78448	5633
933	78535	5549
934	78621	5465
935	78706	5381
936	78789	5297
937	78868	5213
938	78948	5128
939	79032	5044
940	79109	4960
941	79192	4875
942	79268	4791
943	79346	4706
944	79429	4622
945	79505	4538
946	79585	4454
947	79670	4370
948	79751	4285
949	79837	4201
950	79924	4118
951	80009	4034
952	80094	3950
953	80176	3865
954	80261	3781
955	80336	3697
956	80415	3613
957	80495	3529
958	80574	3444
959	80662	3360
960	80748	3276
961	80826	3192
962	80903	3108
963	80974	3023
964	81052	2939
965	81138	2855
966	81208	2771
967	81292	2687
968	81367	2603
969	81439	2518
970	81508	2434
971	81620	2351
972	81698	2267
973	81788	2183
974	81878	2099
975	82012	2016
976	82104	1932
977	82188	1848
978	82272	1764
979	82351	1680
980	82425	1596
981	82505	1512
982	82580	1428
983	82661	1344
984	82743	1260
985	82824	1176
986	82897	1091
987	82974	1007
988	83052	923
989	83128	839
990	83210	755
991	83295	671
992	83372	587
993	83448	503
994	83529	419
995	83608	335
996	83698	251
997	83778	167
998	83861	83
999	83955	0
